# WLTP single-cell simulation export
# WLTP source: data/wltp/wltp_class3_cycle.csv
# Ambient temperature [C]: 25
# Cells:
#   - NMC811 (NMC811, model: ohmic, capacity: 5 Ah)
#   - LFP (LFP, model: rc, capacity: 4.8 Ah)
#   - NCA (NCA, model: thermal, capacity: 4.5 Ah)
time_s	drive.accel_mps2	drive.distance_m	drive.phase_id	drive.speed_kph	LFP.current_a	LFP.heat_w	LFP.ocv_v	LFP.power_kw	LFP.rc_surface_voltage_v	LFP.soc	LFP.temperature_c	LFP.voltage_v	NCA.current_a	NCA.heat_rejection_w	NCA.heat_w	NCA.ocv_v	NCA.power_kw	NCA.soc	NCA.temperature_c	NCA.voltage_v	NMC811.current_a	NMC811.heat_w	NMC811.ocv_v	NMC811.power_kw	NMC811.soc	NMC811.temperature_c	NMC811.voltage_v
0	0	0	1	0	2.5	0.09375	3.7	0.00913164	0.00140625	0.999855	25	3.65266	3	0.00192892	0.099	4.15	0.012351	0.999815	25.0023	4.117	2	0.048	4.25	0.008452	0.999889	25	4.226
1	0	0	1	0	2.5	0.09375	3.69988	0.00913443	0.00263672	0.999711	25	3.65377	3	0.00382026	0.099	4.14981	0.0123504	0.99963	25.0046	4.11681	2	0.048	4.24986	0.00845172	0.999778	25	4.22586
2	0.454545	0	1	1.63636	4.36364	0.28562	3.69977	0.0157939	0.00476167	0.999458	25	3.61944	5.11364	0.00935026	0.287642	4.14961	0.020932	0.999314	25.0112	4.09336	3.61364	0.1567	4.24972	0.0152003	0.999577	25	4.20636
3	0.454545	0	1	3.27273	4.63636	0.322438	3.69957	0.0167648	0.00677442	0.99919	25	3.61593	5.40909	0.0154388	0.321841	4.14928	0.022122	0.99898	25.0185	4.08978	3.86364	0.179132	4.24947	0.0162393	0.999362	25	4.20311
4	0.454545	0	1	4.90909	4.90909	0.361488	3.69935	0.0177332	0.00868898	0.998906	25	3.61231	5.70455	0.0221126	0.35796	4.14893	0.0233098	0.998628	25.0265	4.08618	4.11364	0.203064	4.2492	0.0172766	0.999134	25	4.19984
5	0.454545	0	1	6.54545	5.18182	0.402769	3.69912	0.0186991	0.0105176	0.998606	25	3.6086	6	0.0293974	0.396	4.14856	0.0244954	0.998258	25.0353	4.08256	4.36364	0.228496	4.24892	0.0183122	0.998891	25	4.19655
6	0.454545	0	1	8.18182	5.45455	0.446281	3.69888	0.0196625	0.0122711	0.99829	25	3.60479	6.29545	0.0373189	0.43596	4.14817	0.0256787	0.997869	25.0448	4.07892	4.61364	0.255428	4.24861	0.0193461	0.998635	25	4.19325
7	0.454545	0	1	9.81818	5.72727	0.492025	3.69863	0.0206234	0.0139588	0.997959	25	3.60091	6.59091	0.0459021	0.477841	4.14776	0.0268597	0.997462	25.0551	4.07526	4.86364	0.28386	4.24829	0.0203783	0.998365	25	4.18993
8	0.454545	0	1	11.4545	6	0.54	3.69837	0.0215817	0.015589	0.997612	25	3.59696	6.88636	0.0551714	0.521642	4.14734	0.0280384	0.997037	25.0662	4.07159	5.11364	0.313791	4.24796	0.0214087	0.998081	25	4.18659
9	0.454545	0	1	13.0909	6.27273	0.590207	3.69809	0.0225375	0.0171687	0.997249	25	3.59294	7.18182	0.065151	0.567364	4.14689	0.0292148	0.996594	25.0782	4.06789	5.36364	0.345223	4.2476	0.0224374	0.997783	25	4.18324
10	0.454545	0	1	14.7273	6.54545	0.642645	3.6978	0.0234908	0.0187045	0.99687	25	3.58887	7.47727	0.0758644	0.615006	4.14642	0.0303889	0.996132	25.091	4.06417	5.61364	0.378155	4.24723	0.0234642	0.997471	25	4.17986
11	0.454545	0	1	16.3636	6.81818	0.697314	3.6975	0.0244414	0.0202016	0.996475	25	3.58474	7.77273	0.0873347	0.664568	4.14594	0.0315607	0.995652	25.1048	4.06044	5.86364	0.412587	4.24684	0.0244893	0.997145	25	4.17648
12	0.454545	0	1	18	7.09091	0.754215	3.69718	0.0253895	0.0216651	0.996065	25	3.58057	8.06818	0.0995847	0.716051	4.14543	0.0327301	0.995154	25.1195	4.05668	6.11364	0.448519	4.24643	0.0255126	0.996806	25	4.17307
13	0	0	1	18	5.5	0.45375	3.69685	0.0198641	0.0220507	0.995747	25	3.61165	6.25	0.106016	0.429688	4.14491	0.025476	0.994769	25.1272	4.07616	4.75	0.27075	4.24601	0.0198978	0.996542	25	4.18901
14	0	0	1	18	5.5	0.45375	3.6966	0.0198645	0.0223881	0.995428	25	3.61174	6.25	0.112323	0.429688	4.14451	0.0254735	0.994383	25.1348	4.07576	4.75	0.27075	4.24568	0.0198962	0.996278	25	4.18868
15	0	0	1	18	5.5	0.45375	3.69634	0.0198648	0.0226833	0.99511	25	3.61178	6.25	0.118506	0.429688	4.1441	0.0254709	0.993997	25.1422	4.07535	4.75	0.27075	4.24535	0.0198946	0.996014	25	4.18835
16	0	0	1	18	5.5	0.45375	3.69609	0.0198648	0.0229417	0.994792	25	3.61178	6.25	0.124569	0.429688	4.1437	0.0254684	0.993611	25.1495	4.07495	4.75	0.27075	4.24502	0.0198931	0.99575	25	4.18802
17	0	0	1	18	5.5	0.45375	3.69583	0.0198646	0.0231677	0.994473	25	3.61175	6.25	0.130514	0.429688	4.14329	0.0254659	0.993225	25.1566	4.07454	4.75	0.27075	4.24469	0.0198915	0.995486	25	4.18769
18	0	0	1	18	5.5	0.45375	3.69558	0.0198643	0.0233655	0.994155	25	3.61169	6.25	0.136344	0.429688	4.14289	0.0254634	0.99284	25.1636	4.07414	4.75	0.27075	4.24436	0.0198899	0.995222	25	4.18736
19	0	0	1	18	5.5	0.45375	3.69532	0.0198639	0.0235386	0.993837	25	3.61161	6.25	0.142059	0.429688	4.14248	0.0254608	0.992454	25.1705	4.07373	4.75	0.27075	4.24403	0.0198884	0.994958	25	4.18703
20	0.246914	0	1	18.8889	6.51235	0.63616	3.69507	0.0233945	0.0242594	0.99346	25	3.59234	7.39815	0.151022	0.602059	4.14208	0.0300416	0.991997	25.1812	4.0607	5.62654	0.379896	4.2437	0.0234975	0.994646	25	4.17618
21	0.246914	0	1	19.7778	6.66049	0.665433	3.69477	0.0239103	0.0249735	0.993074	25	3.58986	7.55864	0.160324	0.628464	4.1416	0.0306764	0.99153	25.1924	4.05845	5.76235	0.398456	4.24331	0.0240529	0.994326	25	4.17416
22	0.246914	0	1	20.6667	6.80864	0.695364	3.69446	0.0244251	0.0256817	0.99268	25	3.58737	7.71914	0.169971	0.655436	4.14111	0.0313103	0.991054	25.204	4.0562	5.89815	0.417458	4.24291	0.0246078	0.993998	25	4.17213
23	0.246914	0	1	21.5556	6.95679	0.725954	3.69414	0.0249392	0.0263847	0.992278	25	3.58487	7.87963	0.179966	0.682974	4.14061	0.0319435	0.990568	25.216	4.05393	6.03395	0.436903	4.2425	0.0251621	0.993663	25	4.17009
24	0.246914	0	1	22.4444	7.10494	0.757202	3.69382	0.0254524	0.0270831	0.991867	25	3.58236	8.04012	0.190315	0.711079	4.1401	0.0325758	0.990071	25.2284	4.05165	6.16975	0.45679	4.24208	0.0257158	0.99332	25	4.16804
25	0.246914	0	1	23.3333	7.25309	0.789109	3.69349	0.0259649	0.0277776	0.991447	25	3.57984	8.20062	0.20102	0.739751	4.13957	0.0332073	0.989565	25.2412	4.04937	6.30556	0.47712	4.24165	0.0262688	0.99297	25	4.16598
26	0.246914	0	1	24.2222	7.40123	0.821674	3.69316	0.0264765	0.0284686	0.991019	25	3.5773	8.36111	0.212086	0.76899	4.13904	0.033838	0.989049	25.2545	4.04707	6.44136	0.497893	4.24121	0.0268213	0.992612	25	4.16392
27	0.246914	0	1	25.1111	7.54938	0.854898	3.69281	0.0269872	0.0291565	0.990582	25	3.57476	8.5216	0.223518	0.798795	4.1385	0.0344679	0.988523	25.2682	4.04476	6.57716	0.519108	4.24076	0.0273731	0.992246	25	4.16184
28	0.246914	0	1	26	7.69753	0.88878	3.69247	0.0274972	0.0298418	0.990136	25	3.57221	8.6821	0.235318	0.829167	4.13795	0.0350969	0.987987	25.2824	4.04245	6.71296	0.540766	4.24031	0.0279243	0.991873	25	4.15975
29	0.246914	0	1	26.8889	7.84568	0.92332	3.69211	0.0280063	0.0305248	0.989682	25	3.56964	8.84259	0.247492	0.860106	4.13739	0.0357251	0.987441	25.297	4.04012	6.84877	0.562867	4.23984	0.0284748	0.991493	25	4.15766
30	0.246914	0	1	27.7778	7.99383	0.958519	3.69175	0.0285146	0.0312057	0.98922	25	3.56707	9.00309	0.260042	0.891611	4.13681	0.0363525	0.986885	25.3121	4.03778	6.98457	0.58541	4.23937	0.0290247	0.991105	25	4.15555
31	0.246914	0	1	28.6667	8.14198	0.994376	3.69138	0.029022	0.0318849	0.988748	25	3.56449	9.16358	0.272972	0.923683	4.13623	0.036979	0.98632	25.3276	4.03543	7.12037	0.608396	4.23888	0.029574	0.990709	25	4.15344
32	0.246914	0	1	29.5556	8.29012	1.03089	3.691	0.0295286	0.0325625	0.988269	25	3.5619	9.32407	0.286287	0.956322	4.13564	0.0376047	0.985744	25.3435	4.03307	7.25617	0.631825	4.23839	0.0301226	0.990306	25	4.15131
33	0.246914	0	1	30.4444	8.43827	1.06807	3.69061	0.0300344	0.0332387	0.98778	25	3.55931	9.48457	0.299989	0.989527	4.13503	0.0382295	0.985159	25.36	4.0307	7.39198	0.655696	4.23788	0.0306706	0.989896	25	4.14918
34	0.246914	0	1	31.3333	8.58642	1.1059	3.69022	0.0305393	0.0339137	0.987284	25	3.5567	9.64506	0.314082	1.0233	4.13442	0.0388534	0.984563	25.3769	4.02832	7.52778	0.680009	4.23737	0.031218	0.989477	25	4.14704
35	0.246914	0	1	32.2222	8.73457	1.14439	3.68983	0.0310434	0.0345877	0.986778	25	3.55409	9.80556	0.328569	1.05764	4.13379	0.0394765	0.983958	25.3943	4.02593	7.66358	0.704766	4.23685	0.0317646	0.989052	25	4.14488
36	0.246914	0	1	33.1111	8.88272	1.18354	3.68942	0.0315467	0.0352608	0.986264	25	3.55147	9.96605	0.343454	1.09254	4.13316	0.0400987	0.983343	25.4121	4.02353	7.79938	0.729964	4.23631	0.0323107	0.988618	25	4.14272
37	0.246914	0	1	34	9.03086	1.22335	3.68901	0.0320491	0.035933	0.985741	25	3.54884	10.1265	0.358741	1.12802	4.13251	0.04072	0.982718	25.4305	4.02112	7.93519	0.755606	4.23577	0.032856	0.988177	25	4.14055
38	0.246914	0	1	34.8889	9.17901	1.26381	3.68859	0.0325507	0.0366046	0.98521	25	3.54621	10.287	0.374432	1.16405	4.13185	0.0413405	0.982083	25.4493	4.0187	8.07099	0.78169	4.23522	0.0334007	0.987729	25	4.13837
39	0.246914	0	1	35.7778	9.32716	1.30494	3.68817	0.0330514	0.0372755	0.98467	25	3.54356	10.4475	0.39053	1.20066	4.13119	0.04196	0.981438	25.4686	4.01626	8.20679	0.808217	4.23466	0.0339448	0.987273	25	4.13618
40	0.246914	0	1	36.6667	9.47531	1.34672	3.68774	0.0335513	0.037946	0.984122	25	3.54091	10.608	0.407039	1.23783	4.13051	0.0425787	0.980783	25.4884	4.01382	8.34259	0.835186	4.23409	0.0344881	0.98681	25	4.13398
41	0.246914	0	1	37.5556	9.62346	1.38916	3.6873	0.0340503	0.0386159	0.983565	25	3.53826	10.7685	0.423961	1.27557	4.12982	0.0431965	0.980118	25.5088	4.01137	8.4784	0.862598	4.23351	0.0350308	0.986339	25	4.13177
42	0.246914	0	1	38.4444	9.7716	1.43226	3.68685	0.0345484	0.0392854	0.983	25	3.53559	10.929	0.441301	1.31388	4.12912	0.0438134	0.979444	25.5296	4.00891	8.6142	0.890453	4.23292	0.0355728	0.98586	25	4.12955
43	0.246914	0	1	39.3333	9.91975	1.47602	3.6864	0.0350457	0.0399546	0.982426	25	3.53292	11.0895	0.459059	1.35275	4.12842	0.0444293	0.978759	25.5509	4.00643	8.75	0.91875	4.23233	0.0361141	0.985374	25	4.12733
44	0.246914	0	1	40.2222	10.0679	1.52044	3.68594	0.0355421	0.0406235	0.981843	25	3.53024	11.25	0.47724	1.39219	4.1277	0.0450444	0.978065	25.5727	4.00395	8.8858	0.94749	4.23172	0.0366547	0.98488	25	4.12509
45	0.246914	0	1	41.1111	10.216	1.56551	3.68547	0.0360377	0.0412921	0.981252	25	3.52755	11.4105	0.495847	1.43219	4.12697	0.0456585	0.97736	25.595	4.00145	9.0216	0.976672	4.2311	0.0371946	0.984379	25	4.12284
46	0.246914	0	1	42	10.3642	1.61125	3.685	0.0365323	0.0419604	0.980652	25	3.52486	11.571	0.514881	1.47277	4.12623	0.0462718	0.976646	25.6179	3.99895	9.15741	1.0063	4.23047	0.0377339	0.98387	25	4.12059
47	0	0	1	42	9.5	1.35375	3.68452	0.0336426	0.0420591	0.980102	25	3.54133	10.5833	0.528855	1.23208	4.12548	0.0424292	0.975993	25.6346	4.00906	8.41667	0.850083	4.22984	0.0347511	0.983403	25	4.12884
48	0	0	1	42	9.5	1.35375	3.68408	0.0336393	0.0421455	0.979552	25	3.54098	10.5833	0.542557	1.23208	4.12479	0.042422	0.97534	25.6511	4.00838	8.41667	0.850083	4.22925	0.0347461	0.982935	25	4.12825
49	0	0	1	42	9.5	1.35375	3.68364	0.0336358	0.0422211	0.979003	25	3.54061	10.5833	0.555991	1.23208	4.12411	0.0424147	0.974686	25.6672	4.00769	8.41667	0.850083	4.22867	0.0347412	0.982468	25	4.12767
50	0	0	1	42	9.5	1.35375	3.6832	0.0336323	0.0422872	0.978453	25	3.54024	10.5833	0.569164	1.23208	4.12342	0.0424075	0.974033	25.683	4.007	8.41667	0.850083	4.22808	0.0347363	0.982	25	4.12708
51	0	0	1	42	9.5	1.35375	3.68276	0.0336286	0.042345	0.977903	25	3.53986	10.5833	0.58208	1.23208	4.12273	0.0424002	0.97338	25.6985	4.00632	8.41667	0.850083	4.2275	0.0347314	0.981532	25	4.1265
52	0	0	1	42	9.5	1.35375	3.68232	0.0336249	0.0423956	0.977353	25	3.53947	10.5833	0.594745	1.23208	4.12205	0.0423929	0.972726	25.7137	4.00563	8.41667	0.850083	4.22692	0.0347265	0.981065	25	4.12592
53	0	0	1	42	9.5	1.35375	3.68188	0.0336212	0.0424399	0.976804	25	3.53907	10.5833	0.607163	1.23208	4.12136	0.0423857	0.972073	25.7286	4.00495	8.41667	0.850083	4.22633	0.0347215	0.980597	25	4.12533
54	0	0	1	42	9.5	1.35375	3.68144	0.0336174	0.0424787	0.976254	25	3.53867	10.5833	0.619339	1.23208	4.12068	0.0423784	0.97142	25.7432	4.00426	8.41667	0.850083	4.22575	0.0347166	0.98013	25	4.12475
55	0	0	1	42	9.5	1.35375	3.681	0.0336135	0.0425126	0.975704	25	3.53827	10.5833	0.631277	1.23208	4.11999	0.0423712	0.970766	25.7575	4.00357	8.41667	0.850083	4.22516	0.0347117	0.979662	25	4.12416
56	0	0	1	42	9.5	1.35375	3.68056	0.0336096	0.0425423	0.975154	25	3.53786	10.5833	0.642983	1.23208	4.1193	0.0423639	0.970113	25.7716	4.00289	8.41667	0.850083	4.22458	0.0347068	0.979194	25	4.12358
57	0	0	1	42	9.5	1.35375	3.68012	0.0336057	0.0425682	0.974605	25	3.53744	10.5833	0.654461	1.23208	4.11862	0.0423566	0.96946	25.7854	4.0022	8.41667	0.850083	4.22399	0.0347019	0.978727	25	4.12299
58	-0.595238	0	1	39.8571	7.05952	0.747553	3.67968	0.025296	0.0412182	0.974196	25	3.58324	7.81548	0.654801	0.671898	4.11793	0.0315117	0.968977	25.7858	4.03196	6.30357	0.47682	4.22341	0.0261457	0.978377	25	4.14777
59	-0.595238	0	1	37.7143	6.70238	0.673829	3.67936	0.0240515	0.039836	0.973808	25	3.5885	7.42857	0.65387	0.60702	4.11743	0.0299796	0.968519	25.7846	4.03571	5.97619	0.428578	4.22297	0.0248087	0.978045	25	4.15126
60	-0.595238	0	1	35.5714	6.34524	0.603931	3.67905	0.0228031	0.0384257	0.973441	25	3.59374	7.04167	0.651757	0.545436	4.11694	0.0284447	0.968084	25.7821	4.03949	5.64881	0.382909	4.22256	0.0234695	0.977731	25	4.15477
61	-0.595238	0	1	33.4286	5.9881	0.537859	3.67875	0.021551	0.0369908	0.973094	25	3.59898	6.65476	0.64855	0.487144	4.11649	0.0269071	0.967673	25.7783	4.04329	5.32143	0.339811	4.22216	0.0221281	0.977435	25	4.15831
62	-0.595238	0	1	31.2857	5.63095	0.475614	3.67848	0.0202951	0.0355344	0.972769	25	3.60421	6.26786	0.644333	0.432146	4.11606	0.0253667	0.967287	25.7732	4.04711	4.99405	0.299286	4.22179	0.0207846	0.977158	25	4.16187
63	-0.595238	0	1	29.1429	5.27381	0.417196	3.67821	0.0190355	0.0340591	0.972463	25	3.60943	5.88095	0.639192	0.380442	4.11565	0.0238235	0.966924	25.767	4.05096	4.66667	0.261333	4.22145	0.0194388	0.976898	25	4.16545
64	-0.595238	0	1	27	4.91667	0.362604	3.67797	0.0177721	0.0325673	0.972179	25	3.61466	5.49405	0.633207	0.33203	4.11527	0.0222775	0.966584	25.7598	4.05484	4.33929	0.225953	4.22112	0.0180907	0.976657	25	4.16905
65	-0.595238	0	1	24.8571	4.55952	0.311839	3.67774	0.016505	0.0310611	0.971915	25	3.61989	5.10714	0.62646	0.286912	4.11491	0.0207285	0.966269	25.7518	4.05874	4.0119	0.193145	4.22082	0.0167404	0.976435	25	4.17268
66	-0.595238	0	1	22.7143	4.20238	0.2649	3.67753	0.0152342	0.0295423	0.971672	25	3.62513	4.72024	0.619029	0.245087	4.11458	0.0191767	0.965978	25.7428	4.06266	3.68452	0.162909	4.22054	0.0153878	0.97623	25	4.17633
67	-0.595238	0	1	20.5714	3.84524	0.221788	3.67734	0.0139596	0.0280125	0.971449	25	3.63037	4.33333	0.610992	0.206556	4.11428	0.017622	0.96571	25.7332	4.06661	3.35714	0.135245	4.22029	0.0140329	0.976043	25	4.18
68	-0.595238	0	1	18.4286	3.4881	0.182502	3.67716	0.0126814	0.026473	0.971247	25	3.63561	3.94643	0.602426	0.171317	4.114	0.0160643	0.965467	25.7229	4.07059	3.02976	0.110153	4.22005	0.0126756	0.975875	25	4.1837
69	-0.595238	0	1	16.2857	3.13095	0.147043	3.677	0.0113994	0.024925	0.971066	25	3.64087	3.55952	0.593404	0.139372	4.11374	0.0145036	0.965247	25.7121	4.07459	2.70238	0.0876344	4.21984	0.011316	0.975725	25	4.18742
70	-0.595238	0	1	14.1429	2.77381	0.11541	3.67685	0.0101137	0.0233697	0.970906	25	3.64613	3.17262	0.583999	0.110721	4.11351	0.0129399	0.965051	25.7008	4.07861	2.375	0.0676875	4.21966	0.009954	0.975593	25	4.19116
71	-0.595238	0	1	12	2.41667	0.0876042	3.67672	0.00882423	0.0218078	0.970766	25	3.65141	2.78571	0.574283	0.0853622	4.1133	0.0113731	0.964879	25.6891	4.08266	2.04762	0.0503129	4.21949	0.0085896	0.975479	25	4.19492
72	0	0	1	12	4.5	0.30375	3.67661	0.0162471	0.0216131	0.970505	25	3.61048	5.16667	0.568815	0.293639	4.11312	0.0209575	0.96456	25.6826	4.05629	3.83333	0.176333	4.21935	0.0159978	0.975266	25	4.17335
73	-0.30303	0	1	10.9091	3.25758	0.159177	3.6764	0.0118368	0.0207438	0.970317	25	3.63363	3.75758	0.560759	0.155313	4.11279	0.0152988	0.964328	25.6729	4.07145	2.75758	0.0912507	4.21908	0.0115432	0.975113	25	4.18599
74	-0.30303	0	1	9.81818	3.07576	0.141904	3.67625	0.0111839	0.019881	0.970139	25	3.63616	3.56061	0.55255	0.139457	4.11254	0.0145037	0.964108	25.6631	4.07338	2.59091	0.0805537	4.21889	0.0108502	0.974969	25	4.1878
75	-0.30303	0	1	8.72727	2.89394	0.125623	3.67611	0.0105302	0.0190237	0.969971	25	3.6387	3.36364	0.544209	0.124455	4.11231	0.0137079	0.963901	25.6531	4.07531	2.42424	0.0705234	4.21871	0.0101567	0.974834	25	4.18962
76	-0.30303	0	1	7.63636	2.71212	0.110334	3.67598	0.00987554	0.0181713	0.969814	25	3.64126	3.16667	0.535755	0.110306	4.1121	0.0129113	0.963705	25.6429	4.07726	2.25758	0.0611598	4.21854	0.00946252	0.974709	25	4.19145
77	-0.30303	0	1	6.54545	2.5303	0.0960365	3.67585	0.00922	0.0173232	0.969668	25	3.64383	2.9697	0.527206	0.0970101	4.11189	0.0121141	0.963522	25.6326	4.07922	2.09091	0.0524628	4.21839	0.0087678	0.974593	25	4.1933
78	-0.30303	0	1	5.45455	2.34848	0.0827307	3.67573	0.00856356	0.0164788	0.969532	25	3.64642	2.77273	0.518582	0.0845682	4.1117	0.011316	0.963351	25.6223	4.0812	1.92424	0.0444325	4.21824	0.00807249	0.974486	25	4.19515
79	-0.30303	0	1	4.36364	2.16667	0.0704167	3.67563	0.0079062	0.0156377	0.969407	25	3.64901	2.57576	0.5099	0.0729798	4.11152	0.0105173	0.963192	25.6119	4.08319	1.75758	0.0370689	4.21811	0.00737657	0.974388	25	4.19702
80	-0.30303	0	1	3.27273	1.98485	0.0590944	3.67553	0.00724791	0.0147995	0.969292	25	3.65162	2.37879	0.501178	0.0622449	4.11135	0.00971779	0.963045	25.6014	4.08518	1.59091	0.0303719	4.21799	0.00668006	0.9743	25	4.19889
81	-0.30303	0	1	2.18182	1.80303	0.0487638	3.67543	0.0065887	0.0139637	0.969188	25	3.65424	2.18182	0.492433	0.0523636	4.1112	0.00891752	0.96291	25.5909	4.0872	1.42424	0.0243416	4.21787	0.00598293	0.974221	25	4.20078
82	-0.30303	0	1	1.09091	1.62121	0.0394249	3.67535	0.00592856	0.0131302	0.969094	25	3.65687	1.98485	0.483683	0.0433359	4.11106	0.00811649	0.962788	25.5804	4.08922	1.25758	0.018978	4.21778	0.00528519	0.974151	25	4.20269
83	-0.30303	0	1	0	1.43939	0.0310778	3.67527	0.00526747	0.0122986	0.96901	25	3.65951	1.78788	0.474944	0.0351616	4.11093	0.00731468	0.962677	25.5699	4.09126	1.09091	0.014281	4.21769	0.00458683	0.97409	25	4.2046
84	0	0	1	0	2.5	0.09375	3.67521	0.00909656	0.0121675	0.968866	25	3.63863	3	0.467619	0.099	4.11081	0.0122334	0.962492	25.5611	4.07781	2	0.048	4.21761	0.00838723	0.973979	25	4.19361
85	0	0	1	0	2.5	0.09375	3.67509	0.00909599	0.0120528	0.968721	25	3.6384	3	0.460437	0.099	4.11062	0.0122329	0.962307	25.5525	4.07762	2	0.048	4.21747	0.00838695	0.973868	25	4.19347
86	0	0	1	0	2.5	0.09375	3.67498	0.00909545	0.0119525	0.968576	25	3.63818	3	0.453394	0.099	4.11042	0.0122323	0.962122	25.5441	4.07742	2	0.048	4.21734	0.00838667	0.973757	25	4.19334
87	0	0	1	0	2.5	0.09375	3.67486	0.00909494	0.0118647	0.968432	25	3.63798	3	0.446489	0.099	4.11023	0.0122317	0.961937	25.5358	4.07723	2	0.048	4.2172	0.00838639	0.973646	25	4.1932
88	0	0	1	0	2.5	0.09375	3.67475	0.00909446	0.0117878	0.968287	25	3.63778	3	0.439719	0.099	4.11003	0.0122311	0.961752	25.5277	4.07703	2	0.048	4.21706	0.00838611	0.973535	25	4.19306
89	0	0	1	0	2.5	0.09375	3.67463	0.009094	0.0117206	0.968142	25	3.6376	3	0.43308	0.099	4.10984	0.0122305	0.961566	25.5197	4.07684	2	0.048	4.21692	0.00838584	0.973424	25	4.19292
90	0	0	1	0	2.5	0.09375	3.67451	0.00909356	0.0116618	0.967998	25	3.63743	3	0.426571	0.099	4.10964	0.0122299	0.961381	25.5119	4.07664	2	0.048	4.21678	0.00838556	0.973313	25	4.19278
91	0	0	1	0	2.5	0.09375	3.6744	0.00909315	0.0116103	0.967853	25	3.63726	3	0.420188	0.099	4.10945	0.0122294	0.961196	25.5042	4.07645	2	0.048	4.21664	0.00838528	0.973201	25	4.19264
92	0	0	1	0	2.5	0.09375	3.67428	0.00909274	0.0115653	0.967708	25	3.6371	3	0.41393	0.099	4.10926	0.0122288	0.961011	25.4967	4.07626	2	0.048	4.2165	0.008385	0.97309	25	4.1925
93	0	0	1	0	2.5	0.09375	3.67417	0.00909236	0.0115259	0.967564	25	3.63694	3	0.407794	0.099	4.10906	0.0122282	0.960826	25.4894	4.07606	2	0.048	4.21636	0.00838473	0.972979	25	4.19236
94	0	0	1	0	2.5	0.09375	3.67405	0.00909198	0.0114914	0.967419	25	3.63679	3	0.401778	0.099	4.10887	0.0122276	0.96064	25.4821	4.07587	2	0.048	4.21622	0.00838445	0.972868	25	4.19222
95	0	0	1	0	2.5	0.09375	3.67394	0.00909162	0.0114612	0.967274	25	3.63665	3	0.395878	0.099	4.10867	0.012227	0.960455	25.4751	4.07567	2	0.048	4.21609	0.00838417	0.972757	25	4.19209
96	0	0	1	0	2.5	0.09375	3.67382	0.00909126	0.0114348	0.96713	25	3.6365	3	0.390094	0.099	4.10848	0.0122264	0.96027	25.4681	4.07548	2	0.048	4.21595	0.00838389	0.972646	25	4.19195
97	0.511696	0	1	1.84211	4.59795	0.317118	3.6737	0.0165372	0.0125918	0.966864	25	3.59664	5.37939	0.388695	0.318316	4.10828	0.0217817	0.959938	25.4664	4.04911	3.81652	0.17479	4.21581	0.0159149	0.972434	25	4.17001
98	0.511696	0	1	3.68421	4.90497	0.360881	3.67349	0.0176168	0.0137769	0.96658	25	3.59162	5.71199	0.388115	0.358895	4.10793	0.0231056	0.959585	25.4657	4.0451	4.09795	0.201519	4.21554	0.0170736	0.972206	25	4.16637
99	0.511696	0	1	5.52632	5.21199	0.407472	3.67326	0.0186934	0.0149865	0.966278	25	3.58662	6.04459	0.388384	0.401908	4.10756	0.0244266	0.959212	25.4661	4.04107	4.37939	0.230148	4.21526	0.0182301	0.971963	25	4.16271
100	0.511696	0	1	7.36842	5.51901	0.456891	3.67302	0.019767	0.0162176	0.965959	25	3.58162	6.37719	0.389533	0.447354	4.10717	0.0257449	0.958819	25.4674	4.03702	4.66082	0.260679	4.21495	0.0193845	0.971704	25	4.15902
101	0.511696	0	1	9.21053	5.82602	0.509138	3.67277	0.0208375	0.0174676	0.965622	25	3.57663	6.7098	0.391592	0.495235	4.10676	0.0270603	0.958404	25.4699	4.03295	4.94225	0.29311	4.21463	0.0205367	0.971429	25	4.15532
102	0.511696	0	1	11.0526	6.13304	0.564213	3.6725	0.021905	0.018734	0.965267	25	3.57164	7.0424	0.394592	0.545549	4.10632	0.0283728	0.95797	25.4735	4.02886	5.22368	0.327443	4.21429	0.0216867	0.971139	25	4.1516
103	0.511696	0	1	12.8947	6.44006	0.622115	3.67221	0.0229694	0.0200147	0.964894	25	3.56665	7.375	0.398561	0.598297	4.10587	0.0296825	0.957514	25.4783	4.02474	5.50512	0.363676	4.21392	0.0228345	0.970833	25	4.14786
104	0.511696	0	1	14.7368	6.74708	0.682846	3.67192	0.0240308	0.0213081	0.964503	25	3.56166	7.7076	0.403528	0.653478	4.10539	0.0309892	0.957039	25.4842	4.02061	5.78655	0.40181	4.21354	0.0239801	0.970512	25	4.1441
105	0.511696	0	1	16.5789	7.05409	0.746404	3.6716	0.025089	0.0226125	0.964095	25	3.55666	8.0402	0.40952	0.711094	4.10489	0.0322931	0.956542	25.4914	4.01645	6.06798	0.441845	4.21314	0.0251234	0.970175	25	4.14032
106	0.511696	0	1	18.4211	7.36111	0.812789	3.67128	0.0261442	0.0239266	0.963669	25	3.55166	8.37281	0.416566	0.771143	4.10437	0.033594	0.956026	25.4999	4.01227	6.34942	0.483781	4.21272	0.0262645	0.969822	25	4.13653
107	0.511696	0	1	20.2632	7.66813	0.882003	3.67094	0.0271962	0.0252491	0.963225	25	3.54666	8.70541	0.424692	0.833626	4.10383	0.0348919	0.955488	25.5096	4.00807	6.63085	0.527618	4.21228	0.0274034	0.969454	25	4.13271
